Date,Region,Crop,Yield (kg/ha),Price (USD/kg),Commodity,Household ID,FCS,Income Source,Aid Access
2025-06,Chipinge,Groundnuts,4000,0.6,Groundnut Paste,HH089,54,Casual Labor,No
2025-06,Gweru,Wheat,500,0.8,Wheat Flour,HH090,15,Farming,No
2024-06,Chipinge,Sunflower,1800,0.45,Sunflower Oil,HH091,30,Remittances,No
2023-06,Chinhoyi,Beans,2000,0.45,Dried Beans,HH092,40,Farming,No
2025-06,Chipinge,Beans,4000,0.8,Dried Beans,HH093,43,Farming,No
2022-05,Mvuma,Wheat,1500,0.6,Wheat Flour,HH094,19,Farming,Yes
2023-06,Gweru,Beans,120,0.8,Dried Beans,HH095,52,Casual Labor,No
2025-06,Mhondoro,Wheat,120,0.5,Wheat Flour,HH096,41,Trading,No
2024-06,Zaka,Wheat,500,0.8,Wheat Flour,HH097,35,Farming,Yes
2024-06,Mhondoro,Maize,120,0.8,Maize Meal,HH098,43,Remittances,No
2023-06,Zaka,Wheat,4000,0.5,Wheat Flour,HH099,40,Trading,No
2022-05,Gokwe,Sorghum,1500,0.6,Sorghum Meal,HH100,29,Remittances,Yes
